danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,retro
0.671,0.771,7,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,4,False
0.49,0.885,3,-4.121,0.0396,0.00218,0,0.0741,0.64,166.996,4,False
0.622,0.712,5,-7.321,0.066,0.0573,0,0.13,0.487,140.025,4,False
0.576,0.876,1,-3.82,0.0641,0.00651,1.25e-06,0.271,0.613,128.04,4,False
0.279,0.742,4,-6.46,0.0898,0.000185,0,0.593,0.328,189.868,4,False
0.747,0.716,11,-2.457,0.075,0.135,0,0.251,0.751,125.008,4,False
0.52,0.761,4,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,False
0.696,0.921,0,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4,False
0.68,0.446,7,-6.039,0.0281,0.256,0,0.0515,0.339,125.863,4,False
0.755,0.837,2,-2.718,0.142,0.0991,0,0.289,0.714,120.028,4,False
0.623,0.654,0,-5.675,0.0372,0.0545,0,0.0838,0.401,95.921,4,False
0.482,0.706,9,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,4,False
0.741,0.52,8,-7.513,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4,False
0.717,0.55,10,-6.019,0.0519,0.0358,0.00198,0.126,0.331,96.979,4,False
0.775,0.825,7,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,4,False
0.699,0.529,2,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4,False
0.742,0.819,1,-5.307,0.0487,0.372,0,0.277,0.709,117.986,4,False
0.559,0.777,1,-5.031,0.0432,0.31,0,0.105,0.329,87.016,4,False
0.628,0.593,8,-5.036,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4,False
0.719,0.798,10,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,4,False
0.845,0.567,5,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02,4,False
0.554,0.321,9,-8.251,0.028,0.893,0,0.0996,0.288,135.047,4,False
